state,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue
AL,0.4042481242016618,0.02671814408647127,0.33225611785313114,0.07283427203260615
AK,-0.11121337488720312,0.5584958063585365,-0.024737755063636936,0.8967590721429773
AZ,-0.09055759924336383,0.6341397300193711,-0.19968901217619642,0.29006961436227696
AR,0.10331991662634712,0.5869109557769993,0.29068900663588265,0.11914202537810153
CA,0.0387976409514421,0.8387050038846183,-0.005119644136237689,0.9785793463051731
CO,0.09252596006420559,0.6267566987335795,0.004566721478375133,0.980892338044208
CT,-0.29468397710852257,0.11392367524904402,-0.1464174454828661,0.4400791250855641
DE,-0.09806096599573698,0.6061861476164657,-0.10398667679040038,0.5844864415618491
DC,-0.11790701579385249,0.5349071308955341,-0.02048392018583775,0.914440906500294
FL,-0.10209454313024313,0.5913781753418044,-0.07493599871106046,0.6939094480122878
GA,-0.05880369183811396,0.7575782466122387,-0.0066777966994404645,0.9720622421997207
HI,0.30435667162952496,0.10199539740290932,0.2739086718962714,0.1430050605123217
ID,0.15122732743848727,0.42503656744785506,0.15031814555026274,0.4278579909103831
IL,0.07351560936098646,0.6994411315406445,-0.05464663632375445,0.7742593374766784
IN,-0.24182028135419253,0.19794390107083806,-0.14891486639752233,0.4322328843709047
IA,0.11608478965391839,0.541281384994834,0.0801844651456381,0.6736046815176991
KS,0.4887030669761749,0.006138898400262787,0.46955624618732916,0.008847095938141819
KY,-0.025689855955333643,0.8928078229061287,-0.008726921066197225,0.963494356590459
LA,-0.13610741307106486,0.47327422714561385,-0.12243990527930841,0.5192077898137961
ME,0.1457615439438547,0.4421525216253504,0.002870705995131346,0.9879879957169851
MD,0.1790703008992431,0.3437326907446956,0.12183990974073317,0.5212728383691474
MA,-0.3133439194910171,0.09177799239120864,-0.47129506008010685,0.008565441799979336
MI,0.09638144794990841,0.6123978115829746,0.1425392242049962,0.4524150855468869
MN,-0.46345176733391036,0.009898586662041419,-0.301239596441724,0.10573185794816162
MS,0.18212048717794074,0.3354387470967906,0.09729255259048411,0.6090248048275322
MO,0.0071399210388100876,0.9701296887320525,-0.1412447904398547,0.45657316170480067
MT,0.11657315498640171,0.5395695433608441,-0.14073802204417293,0.4582065528497936
NE,-0.11201309710467988,0.5556526124953997,0.048537796910835256,0.7989502218341005
NV,-0.1493818571144836,0.4307742726055754,-0.28482317027860193,0.12712203564326144
NH,-0.11377017349001993,0.5494293792317154,-0.06513753585616792,0.73236848700119
NJ,-0.0035763607619375554,0.9850355926401463,0.011125945705384959,0.9534685818236298
NM,0.09404852218049364,0.6210698914534162,0.12869173407365317,0.4979307049191404
NY,0.02342729813135663,0.9022014523213362,0.12431831522124996,0.5127686528924389
NC,-0.1880829536838333,0.31958130864727546,-0.12407996871909513,0.5135835129730466
ND,-0.1490838341559282,0.43170481390445375,-0.07152490559728002,0.7072192839224338
OH,-0.42473780703012376,0.019307550528036,-0.431896864693385,0.01715791759933017
OK,0.013253343390298267,0.9445837365382556,-0.014292185916001034,0.9402474254458502
OR,0.1418951246918782,0.4544815767664851,0.1547211234560941,0.4142905327436148
PA,0.03634694163829644,0.8487732505998183,-0.061010924322689286,0.7487639112476032
RI,-0.038135298552669075,0.8414237238891356,-0.07565034085175056,0.6911332482137706
SC,-0.20048640751220445,0.2881079007226517,-0.2538900977272384,0.17579061807757307
SD,0.09420123738159064,0.6205006684205191,0.10085113238426041,0.5959261848549962
TN,0.23045824318730762,0.22049594981863618,0.24007520328170998,0.20129961604793536
TX,-0.3211160072690107,0.08358576616185677,-0.4113587378470621,0.023920707917771265
UT,-0.39911382558849384,0.028899581574727353,-0.3562934160359319,0.053293440070483554
VT,0.10100491126441233,0.595362893612279,0.202877740243922,0.2822756879320681
VA,-0.20173175987911823,0.28506110260055595,-0.12293662982801407,0.5175012029475703
WA,0.020391383425241105,0.9148260280473554,0.1080028467270863,0.5699767057316443
WI,0.18396877215587093,0.33047277916195905,0.24041830619425242,0.20063676595075947
WY,0.11802678289937849,0.5344894355909587,-0.0348681832563399,0.8548598625233115
