date,tot_cases,new_case,tot_death,new_death,State,population_estimate,state_abbreviation,normalized_tot_cases,normalized_new_case,normalized_tot_death,normalized_new_death,short_date
04/11/2020,293,15,7,1,North Dakota,761723,ND,0.3846542640828753,0.01969219781994242,0.009189692315973129,0.0013128131879961613,11
04/14/2020,341,10,9,1,North Dakota,761723,ND,0.447669297106691,0.013128131879961613,0.011815318691965452,0.0013128131879961613,14
04/03/2020,173,14,3,0,North Dakota,761723,ND,0.22711668152333592,0.018379384631946258,0.003938439563988484,0.0,3
04/05/2020,207,21,3,0,North Dakota,761723,ND,0.27175232991520537,0.027569076947919387,0.003938439563988484,0.0,5
04/25/2020,803,55,16,1,North Dakota,761723,ND,1.0541889899609174,0.07220472533978887,0.02100501100793858,0.0013128131879961613,25
04/09/2020,269,18,5,1,North Dakota,761723,ND,0.3531467475709674,0.023630637383930904,0.006564065939980807,0.0013128131879961613,9
04/22/2020,679,35,14,1,North Dakota,761723,ND,0.8914001546493935,0.045948461579865645,0.018379384631946258,0.0013128131879961613,22
04/27/2020,942,75,19,2,North Dakota,761723,ND,1.236670023092384,0.0984609890997121,0.024943450571927064,0.0026256263759923226,27
04/28/2020,991,49,19,0,North Dakota,761723,ND,1.300997869304196,0.06432784621181191,0.024943450571927064,0.0,28
04/23/2020,709,30,15,1,North Dakota,761723,ND,0.9307845502892784,0.03938439563988484,0.01969219781994242,0.0013128131879961613,23
04/18/2020,528,89,9,0,North Dakota,761723,ND,0.6931653632619732,0.11684037373165836,0.011815318691965452,0.0,18
04/19/2020,585,57,10,1,North Dakota,761723,ND,0.7679957149777543,0.0748303517157812,0.013128131879961613,0.0013128131879961613,19
04/12/2020,308,15,8,1,North Dakota,761723,ND,0.4043464619028177,0.01969219781994242,0.01050250550396929,0.0013128131879961613,12
04/29/2020,1033,42,19,0,North Dakota,761723,ND,1.3561360232000348,0.05513815389583877,0.024943450571927064,0.0,29
04/10/2020,278,9,6,1,North Dakota,761723,ND,0.3649620662629328,0.011815318691965452,0.007876879127976967,0.0013128131879961613,10
04/13/2020,331,23,8,0,North Dakota,761723,ND,0.4345411652267294,0.03019470332391171,0.01050250550396929,0.0,13
04/16/2020,393,28,9,0,North Dakota,761723,ND,0.5159355828824914,0.036758769263892516,0.011815318691965452,0.0,16
04/30/2020,1067,34,19,0,North Dakota,761723,ND,1.400771671591904,0.04463564839186949,0.024943450571927064,0.0,30
04/04/2020,186,13,3,0,North Dakota,761723,ND,0.244183252967286,0.017066571443950098,0.003938439563988484,0.0,4
04/02/2020,159,12,3,0,North Dakota,761723,ND,0.20873729689138967,0.015753758255953935,0.003938439563988484,0.0,2
04/06/2020,225,18,3,0,North Dakota,761723,ND,0.2953829672991363,0.023630637383930904,0.003938439563988484,0.0,6
04/01/2020,147,21,3,0,North Dakota,761723,ND,0.19298353863543571,0.027569076947919387,0.003938439563988484,0.0,1
04/20/2020,627,42,13,3,North Dakota,761723,ND,0.8231338688735932,0.05513815389583877,0.017066571443950098,0.003938439563988484,20
04/08/2020,251,14,4,0,North Dakota,761723,ND,0.32951611018703647,0.018379384631946258,0.005251252751984645,0.0,8
04/21/2020,644,17,13,0,North Dakota,761723,ND,0.8454516930695278,0.022317824195934744,0.017066571443950098,0.0,21
04/17/2020,439,46,9,0,North Dakota,761723,ND,0.5763249895303149,0.06038940664782342,0.011815318691965452,0.0,17
04/26/2020,867,64,17,1,North Dakota,761723,ND,1.1382090339926718,0.08402004403175432,0.022317824195934744,0.0013128131879961613,26
04/24/2020,748,39,15,0,North Dakota,761723,ND,0.9819842646211286,0.05119971433185029,0.01969219781994242,0.0,24
04/07/2020,237,12,4,1,North Dakota,761723,ND,0.31113672555509025,0.015753758255953935,0.005251252751984645,0.0013128131879961613,7
04/15/2020,365,24,9,0,North Dakota,761723,ND,0.4791768136185989,0.03150751651190787,0.011815318691965452,0.0,15
04/10/2020,20845,1904,599,96,Massachusetts,6976597,MA,2.987846366932188,0.2729124242091094,0.08585847799435742,0.013760290296257617,10
04/14/2020,28163,1296,957,113,Massachusetts,6976597,MA,4.036781829307325,0.18576391899947783,0.13717289389081813,0.016197008369553238,14
04/06/2020,13837,1337,260,29,Massachusetts,6976597,MA,1.983345175305382,0.19164070964683785,0.037267452885697716,0.004156754360327822,6
04/22/2020,42944,1745,2182,221,Massachusetts,6976597,MA,6.1554365258592405,0.2501219434059327,0.3127599315253554,0.031677334952843056,22
04/23/2020,46023,3079,2360,178,Massachusetts,6976597,MA,6.596769169840253,0.4413326439810125,0.3382738031163331,0.025513871590977663,23
04/19/2020,38077,1705,1706,146,Massachusetts,6976597,MA,5.45781847511043,0.24438848911582536,0.24453182547307806,0.020927108158891795,19
04/29/2020,60265,1963,3405,252,Massachusetts,6976597,MA,8.638165569832973,0.2813692692870177,0.48806029644538734,0.036120762027676244,29
04/02/2020,8966,1228,154,32,Massachusetts,6976597,MA,1.2851537791275602,0.17601704670629534,0.02207379901691326,0.004586763432085872,2
04/12/2020,25475,1557,756,64,Massachusetts,6976597,MA,3.6514937010121127,0.22317470824242822,0.10836228608302872,0.009173526864171744,12
04/15/2020,29918,1755,1108,151,Massachusetts,6976597,MA,4.288337136285786,0.25155530697845957,0.15881668383597333,0.02164378994515521,15
04/08/2020,16567,1365,433,77,Massachusetts,6976597,MA,2.374653430605208,0.195654127649913,0.06206464269041197,0.01103689950845663,8
04/26/2020,54938,1590,2899,169,Massachusetts,6976597,MA,7.874612794747927,0.2279048080317668,0.41553209967552945,0.024223844375703515,26
04/30/2020,62205,1940,3562,157,Massachusetts,6976597,MA,8.916238102903177,0.278072533070206,0.5105641045340586,0.02250380808867131,30
04/18/2020,36372,1970,1560,156,Massachusetts,6976597,MA,5.213429985994605,0.28237262378778655,0.22360471731418627,0.022360471731418627,18
04/27/2020,56462,1524,3003,104,Massachusetts,6976597,MA,8.093057403201017,0.21844460845308966,0.4304390808298086,0.014906981154279086,27
04/17/2020,34402,2221,1404,159,Massachusetts,6976597,MA,4.931057362206818,0.31835004945821005,0.20124424558276763,0.022790480803176676,17
04/01/2020,7738,1118,122,33,Massachusetts,6976597,MA,1.109136732421265,0.16025004740850016,0.01748703558482739,0.004730099789338555,1
04/20/2020,39643,1566,1809,103,Massachusetts,6976597,MA,5.682283210568132,0.22446473545770237,0.25929547027010447,0.0147636447970264,20
04/28/2020,58302,1840,3153,150,Massachusetts,6976597,MA,8.356796300545954,0.2637388973449376,0.45193953441771106,0.021500453587902525,28
04/24/2020,50969,4946,2556,196,Massachusetts,6976597,MA,7.305710792812026,0.7089416229717727,0.3663677291378591,0.028093926021525967,24
04/04/2020,11736,1334,216,24,Massachusetts,6976597,MA,1.6821954887174937,0.1912107005750798,0.030960653166579637,0.0034400725740644043,4
04/07/2020,15202,1365,356,96,Massachusetts,6976597,MA,2.1789993029552948,0.195654127649913,0.051027743181955326,0.013760290296257617,7
04/11/2020,23918,3073,692,93,Massachusetts,6976597,MA,3.428318992769684,0.4404726258374964,0.09918875921885699,0.013330281224499566,11
04/21/2020,41199,1556,1961,152,Massachusetts,6976597,MA,5.9053145824533075,0.22303137188517555,0.28108259657251233,0.021787126302407894,21
04/05/2020,12500,764,231,15,Massachusetts,6976597,MA,1.791704465658544,0.1095089769410502,0.033110698525369894,0.002150045358790253,5
04/16/2020,32181,2263,1245,137,Massachusetts,6976597,MA,4.612707312748608,0.3243701764628228,0.17845376477959096,0.01963708094361764,16
04/25/2020,53348,2379,2730,174,Massachusetts,6976597,MA,7.6467079867161605,0.3409971939041341,0.391308255299826,0.02494052616196693,25
04/13/2020,26867,1392,844,88,Massachusetts,6976597,MA,3.851017910307848,0.19952420929573544,0.12097588552126487,0.012613599438236148,13
04/09/2020,18941,2374,503,70,Massachusetts,6976597,MA,2.7149339427230785,0.3402805121178707,0.07209818769809981,0.010033545007687845,9
