date,state,tot_cases,new_case,tot_death,new_death
04/01/2020,CO,3342,376,80,11
04/02/2020,CO,3728,386,97,17
04/03/2020,CO,4173,445,111,14
04/04/2020,CO,4565,392,126,15
04/05/2020,CO,4950,385,140,14
04/06/2020,CO,5172,222,150,10
04/07/2020,CO,5429,257,179,29
04/08/2020,CO,5655,226,193,14
04/09/2020,CO,6202,547,226,33
04/10/2020,CO,6365,163,250,24
04/11/2020,CO,6893,528,274,24
04/12/2020,CO,7303,410,290,16
04/13/2020,CO,7691,388,308,18
04/14/2020,CO,7941,250,329,21
04/15/2020,CO,8280,339,357,28
04/16/2020,CO,8582,302,373,16
04/17/2020,CO,9047,465,391,18
04/18/2020,CO,9433,386,411,20
04/19/2020,CO,9634,201,421,10
04/20/2020,CO,10019,385,448,27
04/21/2020,CO,10368,349,485,37
04/22/2020,CO,10825,457,507,22
04/23/2020,CO,11182,357,551,44
04/24/2020,CO,12184,1002,672,121
04/25/2020,CO,12868,684,670,-2
04/26/2020,CO,13350,482,679,9
04/27/2020,CO,13798,448,706,27
04/28/2020,CO,14238,440,736,30
04/29/2020,CO,14675,437,766,30
04/30/2020,CO,15182,507,777,11
04/01/2020,FL,7495,1005,101,16
04/02/2020,FL,8694,1199,144,43
04/03/2020,FL,9925,1231,170,26
04/04/2020,FL,11173,1248,195,25
04/05/2020,FL,11961,788,221,26
04/06/2020,FL,13214,1253,254,33
04/07/2020,FL,14302,1088,296,42
04/08/2020,FL,15234,932,323,27
04/09/2020,FL,16323,1089,371,48
04/10/2020,FL,17448,1125,419,48
04/11/2020,FL,18445,997,446,27
04/12/2020,FL,19337,892,461,15
04/13/2020,FL,20394,1057,499,38
04/14/2020,FL,20984,590,571,72
04/15/2020,FL,21865,881,614,43
04/16/2020,FL,22674,809,668,54
04/17/2020,FL,24066,1392,726,58
04/18/2020,FL,24797,731,748,22
04/19/2020,FL,25598,801,774,26
04/20/2020,FL,26329,731,823,49
04/21/2020,FL,27127,798,867,44
04/22/2020,FL,27791,664,927,60
04/23/2020,FL,28843,1052,987,60
04/24/2020,FL,29707,864,1046,59
04/25/2020,FL,29996,289,1055,9
04/26/2020,FL,30680,684,1074,19
04/27/2020,FL,31290,610,1088,14
04/28/2020,FL,31986,696,1171,83
04/29/2020,FL,32318,332,1218,47
04/30/2020,FL,33690,1372,1268,50
04/01/2020,AZ,1413,124,29,5
04/02/2020,AZ,1598,185,32,3
04/03/2020,AZ,1769,171,41,9
04/04/2020,AZ,2019,250,52,11
04/05/2020,AZ,2269,250,64,12
04/06/2020,AZ,2456,187,65,1
04/07/2020,AZ,2575,119,73,8
04/08/2020,AZ,2726,151,80,7
04/09/2020,AZ,3018,292,89,9
04/10/2020,AZ,3112,94,97,8
04/11/2020,AZ,3393,281,108,11
04/12/2020,AZ,3539,146,115,7
04/13/2020,AZ,3702,163,122,7
04/14/2020,AZ,3806,104,131,9
04/15/2020,AZ,3962,156,142,11
04/16/2020,AZ,4234,272,150,8
04/17/2020,AZ,4507,273,169,19
04/18/2020,AZ,4719,212,177,8
04/19/2020,AZ,4929,210,184,7
04/20/2020,AZ,5064,135,187,3
04/21/2020,AZ,5251,187,208,21
04/22/2020,AZ,5459,208,229,21
04/23/2020,AZ,5769,310,249,20
04/24/2020,AZ,6045,276,266,17
04/25/2020,AZ,6280,235,273,7
04/26/2020,AZ,6526,246,275,2
04/27/2020,AZ,6716,190,275,0
04/28/2020,AZ,6948,232,293,18
04/29/2020,AZ,7202,254,254,-39
04/30/2020,AZ,7648,446,320,66
04/01/2020,SC,1293,210,26,4
04/02/2020,SC,1554,261,31,5
04/03/2020,SC,1700,146,34,3
04/04/2020,SC,1917,217,40,6
04/05/2020,SC,2049,132,44,4
04/06/2020,SC,2232,183,48,4
04/07/2020,SC,2417,185,51,3
04/08/2020,SC,2552,135,63,12
04/09/2020,SC,2792,240,67,4
04/10/2020,SC,3065,273,72,5
04/11/2020,SC,3207,142,80,8
04/12/2020,SC,3319,112,82,2
04/13/2020,SC,3439,120,87,5
04/14/2020,SC,3553,114,97,10
04/15/2020,SC,3656,103,107,10
04/16/2020,SC,3931,275,109,2
04/17/2020,SC,4086,155,116,7
04/18/2020,SC,4246,160,119,3
04/19/2020,SC,4377,131,120,1
04/20/2020,SC,4439,62,124,4
04/21/2020,SC,4608,169,135,11
04/22/2020,SC,4761,153,140,5
04/23/2020,SC,4917,156,150,10
04/24/2020,SC,5070,153,157,7
04/25/2020,SC,5253,183,166,9
04/26/2020,SC,5490,237,174,8
04/27/2020,SC,5613,123,177,3
04/28/2020,SC,5735,122,192,15
04/29/2020,SC,5881,146,203,11
04/30/2020,SC,6095,214,244,41
04/01/2020,CT,3557,429,85,16
04/02/2020,CT,3824,267,112,27
04/03/2020,CT,4915,1091,132,20
04/04/2020,CT,5276,361,165,33
04/05/2020,CT,5675,399,189,24
04/06/2020,CT,6906,1231,206,17
04/07/2020,CT,7781,875,277,71
04/08/2020,CT,8781,1000,335,58
04/09/2020,CT,9784,1003,380,45
04/10/2020,CT,10131,347,444,64
04/11/2020,CT,11510,1379,494,50
04/12/2020,CT,12035,525,554,60
04/13/2020,CT,13381,1346,602,48
04/14/2020,CT,13989,608,608,6
04/15/2020,CT,14755,766,868,260
04/16/2020,CT,15884,1129,971,103
04/17/2020,CT,16809,925,1036,65
04/18/2020,CT,17550,741,1086,50
04/19/2020,CT,17962,412,1127,41
04/20/2020,CT,19815,1853,1331,204
04/21/2020,CT,20360,545,1423,92
04/22/2020,CT,22469,2109,1544,121
04/23/2020,CT,23100,631,1639,95
04/24/2020,CT,23921,821,1764,125
04/25/2020,CT,24582,661,1862,98
04/26/2020,CT,25269,687,1924,62
04/27/2020,CT,25997,728,2012,88
04/28/2020,CT,26312,315,2089,77
04/29/2020,CT,26767,455,2168,79
04/30/2020,CT,27700,933,2257,89
04/01/2020,NE,214,37,4,1
04/02/2020,NE,255,41,5,1
04/03/2020,NE,285,30,6,1
04/04/2020,NE,323,38,8,2
04/05/2020,NE,367,44,8,0
04/06/2020,NE,412,45,8,0
04/07/2020,NE,478,66,10,2
04/08/2020,NE,523,45,14,4
04/09/2020,NE,577,54,15,1
04/10/2020,NE,648,71,17,2
04/11/2020,NE,704,56,17,0
04/12/2020,NE,814,110,17,0
04/13/2020,NE,871,57,18,1
04/14/2020,NE,901,30,20,2
04/15/2020,NE,952,51,21,1
04/16/2020,NE,1066,114,24,3
04/17/2020,NE,1138,72,24,0
04/18/2020,NE,1287,149,28,4
04/19/2020,NE,1474,187,28,0
04/20/2020,NE,1648,174,33,5
04/21/2020,NE,1722,74,38,5
04/22/2020,NE,1813,91,42,4
04/23/2020,NE,2124,311,47,5
04/24/2020,NE,2421,297,50,3
04/25/2020,NE,2732,311,53,3
04/26/2020,NE,3028,296,56,3
04/27/2020,NE,3358,330,55,-1
04/28/2020,NE,3374,16,55,0
04/29/2020,NE,3784,410,68,13
04/30/2020,NE,4281,497,70,2
04/01/2020,KY,680,89,20,2
04/02/2020,KY,770,90,31,11
04/03/2020,KY,831,61,37,6
04/04/2020,KY,917,86,40,3
04/05/2020,KY,955,38,45,5
04/06/2020,KY,1008,53,59,14
04/07/2020,KY,1149,141,65,6
04/08/2020,KY,1346,197,73,8
04/09/2020,KY,1452,106,79,6
04/10/2020,KY,1693,241,90,11
04/11/2020,KY,1840,147,94,4
04/12/2020,KY,1963,123,97,3
04/13/2020,KY,2048,85,104,7
04/14/2020,KY,2210,162,115,11
04/15/2020,KY,2291,81,122,7
04/16/2020,KY,2429,138,129,7
04/17/2020,KY,2522,93,137,8
04/18/2020,KY,2707,185,144,7
04/19/2020,KY,2960,253,148,4
04/20/2020,KY,3050,90,154,6
04/21/2020,KY,3192,142,171,17
04/22/2020,KY,3373,181,185,14
04/23/2020,KY,3481,108,191,6
04/24/2020,KY,3779,298,200,9
04/25/2020,KY,3905,126,205,5
04/26/2020,KY,4074,169,208,3
04/27/2020,KY,4146,72,213,5
04/28/2020,KY,4375,229,225,12
04/29/2020,KY,4539,164,235,10
04/30/2020,KY,4708,169,240,5
04/01/2020,WY,137,17,0,0
04/02/2020,WY,150,13,0,0
04/03/2020,WY,166,16,0,0
04/04/2020,WY,187,21,0,0
04/05/2020,WY,200,13,0,0
04/06/2020,WY,212,12,0,0
04/07/2020,WY,221,9,0,0
04/08/2020,WY,230,9,0,0
04/09/2020,WY,239,9,0,0
04/10/2020,WY,253,14,0,0
04/11/2020,WY,261,8,0,0
04/12/2020,WY,270,9,0,0
04/13/2020,WY,373,103,1,1
04/14/2020,WY,494,121,1,0
04/15/2020,WY,393,-101,2,1
04/16/2020,WY,401,8,2,0
04/17/2020,WY,412,11,2,0
04/18/2020,WY,423,11,2,0
04/19/2020,WY,426,3,2,0
04/20/2020,WY,428,2,2,0
04/21/2020,WY,441,13,6,4
04/22/2020,WY,447,6,6,0
04/23/2020,WY,453,6,7,1
04/24/2020,WY,473,20,7,0
04/25/2020,WY,491,18,7,0
04/26/2020,WY,502,11,7,0
04/27/2020,WY,520,18,7,0
04/28/2020,WY,536,16,7,0
