date,tot_cases,new_case,tot_death,new_death,population_estimate,state_abbreviation,normalized_tot_cases,normalized_new_case,normalized_tot_death,normalized_new_death
04/01/2020,3342,376,80,11,5845526,CO,0.571719294,0.064322697,0.01368568,0.001881781
04/02/2020,3728,386,97,17,5845526,CO,0.637752702,0.066033407,0.016593887,0.002908207
04/03/2020,4173,445,111,14,5845526,CO,0.713879298,0.076126597,0.018988881,0.002394994
04/04/2020,4565,392,126,15,5845526,CO,0.780939132,0.067059833,0.021554946,0.002566065
04/05/2020,4950,385,140,14,5845526,CO,0.846801468,0.065862336,0.023949941,0.002394994
04/06/2020,5172,222,150,10,5845526,CO,0.884779231,0.037977763,0.025660651,0.00171071
04/07/2020,5429,257,179,29,5845526,CO,0.928744479,0.043965248,0.03062171,0.004961059
04/08/2020,5655,226,193,14,5845526,CO,0.967406526,0.038662047,0.033016704,0.002394994
04/09/2020,6202,547,226,33,5845526,CO,1.060982365,0.093575839,0.038662047,0.005645343
04/10/2020,6365,163,250,24,5845526,CO,1.088866939,0.027884574,0.042767751,0.004105704
04/11/2020,6893,528,274,24,5845526,CO,1.179192429,0.09032549,0.046873455,0.004105704
04/12/2020,7303,410,290,16,5845526,CO,1.24933154,0.070139112,0.049610591,0.002737136
04/13/2020,7691,388,308,18,5845526,CO,1.315707089,0.066375549,0.052689869,0.003079278
04/14/2020,7941,250,329,21,5845526,CO,1.35847484,0.042767751,0.05628236,0.003592491
04/15/2020,8280,339,357,28,5845526,CO,1.416467911,0.05799307,0.061072348,0.004789988
04/16/2020,8582,302,373,16,5845526,CO,1.468131354,0.051663443,0.063809484,0.002737136
04/17/2020,9047,465,391,18,5845526,CO,1.547679371,0.079548017,0.066888762,0.003079278
04/18/2020,9433,386,411,20,5845526,CO,1.613712778,0.066033407,0.070310183,0.00342142
04/19/2020,9634,201,421,10,5845526,CO,1.64809805,0.034385272,0.072020893,0.00171071
04/20/2020,10019,385,448,27,5845526,CO,1.713960386,0.065862336,0.07663981,0.004618917
04/21/2020,10368,349,485,37,5845526,CO,1.773664166,0.05970378,0.082969437,0.006329627
04/22/2020,10825,457,507,22,5845526,CO,1.851843615,0.078179449,0.086732999,0.003763562
04/23/2020,11182,357,551,44,5845526,CO,1.912915963,0.061072348,0.094260123,0.007527124
04/24/2020,12184,1002,672,121,5845526,CO,2.084329109,0.171413146,0.114959714,0.020699591
04/25/2020,12868,684,670,-2,5845526,CO,2.201341676,0.117012567,0.114617572,-0.000342142
04/26/2020,13350,482,679,9,5845526,CO,2.283797899,0.082456224,0.116157212,0.001539639
04/27/2020,13798,448,706,27,5845526,CO,2.360437709,0.07663981,0.120776129,0.004618917
04/28/2020,14238,440,736,30,5845526,CO,2.435708951,0.075271242,0.125908259,0.00513213
04/29/2020,14675,437,766,30,5845526,CO,2.510466979,0.074758029,0.131040389,0.00513213
04/30/2020,15182,507,777,11,5845526,CO,2.597199978,0.086732999,0.13292217,0.001881781
04/01/2020,7495,1005,101,16,21992985,FL,0.340790484,0.045696389,0.004592373,0.000727505
04/02/2020,8694,1199,144,43,21992985,FL,0.395307867,0.054517384,0.006547542,0.001955169
04/03/2020,9925,1231,170,26,21992985,FL,0.451280261,0.055972393,0.007729737,0.001182195
04/04/2020,11173,1248,195,25,21992985,FL,0.508025627,0.056745367,0.008866464,0.001136726
04/05/2020,11961,788,221,26,21992985,FL,0.543855234,0.035829607,0.010048659,0.001182195
04/06/2020,13214,1253,254,33,21992985,FL,0.600827946,0.056972712,0.011549137,0.001500478
04/07/2020,14302,1088,296,42,21992985,FL,0.650298266,0.04947032,0.013458837,0.0019097
04/08/2020,15234,932,323,27,21992985,FL,0.692675414,0.042377149,0.014686501,0.001227664
04/09/2020,16323,1089,371,48,21992985,FL,0.742191203,0.049515789,0.016869015,0.002182514
04/10/2020,17448,1125,419,48,21992985,FL,0.793343878,0.051152674,0.019051529,0.002182514
